sample_size,	features,	freetime,	fixedtime
60,	2,	1.1288	0.7253
90,	2,	3.4666	1.6238
150,	2,	27.7299	5.5057
60,	3,	1.1103	0.6995
90,	3,	2.5741	1.3963
150,	3,	28.8644	5.9140
60,	4,	0.5443	0.5700
90,	4,	1.3596	1.1760
150,	4,	7.7072	6.1569
